id,truckstop_id,truckstop_name,address,city,state,rack_id,retail_price,latitude,longitude
1730,52651,TA NEW BRAUNFELS TRAVEL CENTER,"I-35, EXIT 193",New Braunfels,TX,740,3.449,29.7028266,-98.1257348
1731,52652,PILOT TRAVEL CENTERS #47,"I-275, EXIT 129",Georgetown,KY,410,3.206,38.2099837,-84.5597128
1732,52656,TRAVELING TIGER CENTER,"I-10, EXIT 87",Sierra Blanca,TX,640,3.156,31.1778312,-105.357627
1733,52658,LOVES TRAVEL STOP #274,"I-40, EXIT 221 & SR-27",Okemah,OK,560,3.356,35.4325854,-96.3050064
1734,52659,LOVES TRAVEL STOP #276,"I-10, EXIT 20",Lordsburg,NM,640,3.457,35.687701,-105.941435
1735,52661,LOVES TRAVEL STOP #281,"I-35 WEST, EXIT 40",Fort Worth,TX,630,3.187,32.958873,-97.043618
1736,52663,EXXON,"I-20/I-59, EXIT 17 & SR-28",Livingston,AL,705,2.979,32.5841595,-88.1872828
1737,52664,PETRO STOPPING CENTER #378,I-81 EXIT 178B,Pittston,PA,200,4.166,41.3259134,-75.7893604
1739,52669,COLUMBIA TRUCK STOP,US-46,Columbia,NJ,115,3.079,40.9173036,-75.0822779
1740,52674,FLYING J TRAVEL PLAZA #738,"I-20/FM707, EXIT 277",Tye,TX,575,3.124,32.4545421,-99.8685101
1741,52675,PILOT TRAVEL CENTER #907- TOWN PUMP,"I-94, EXIT 138",Miles City                              ,MT,780,3.499,46.39445,-105.82222
1742,52676,PILOT TRAVEL CENTERS #336,"I-80, EXIT 97 & US-219",Du Bois,PA,14,4.034,41.123215,-78.756436
1743,52678,STRIPES 7FLEET #42433,US-277,Bronte,TX,739,3.474,31.8912606,-100.289985
1744,52679,LOVES TRAVEL STOP #404,"I-295, EXIT 56 & I-95, EXIT 7",Bordentown,NJ,150,3.979,40.1462685,-74.7114508
1745,52680,PILOT TRAVEL CENTER #91,"I-95, EXIT 329",Saint Johns,FL,75,3.424,29.913888,-81.41394
1747,52683,PILOT TRAVEL CENTER #145,"I-40/US-71/US-62, EXIT 72 AND US-412",Springdale,AR,416,3.463,36.1671108,-94.1284748
1749,52684,KWIK STAR #348,US-30/US-67,Clinton,IA,270,3.624,41.8265742,-90.2041011
1751,52686,LOVES TRAVEL STOP #278,"I-40, EXIT 277",Joseph City,AZ,930,3.607,34.9558585,-110.3339982
1752,52687,LOVES TRAVEL STOP #286,"I-10, EXIT 17",Quartzsite,AZ,930,3.949,33.6669903,-114.21681
1753,52690,LOVES TRAVEL STOP #415,"I-95 & OKEECHOBEE RD, EXIT 129",Fort Pierce,FL,95,3.506,27.4241434,-80.369947
1754,52691,PILOT TRAVEL CENTERS #312,"I-20/SR-402, EXIT 5 & SR-100",Tallapoosa,GA,18,3.449,33.7442912,-85.2879889
1756,52692,PILOT TRAVEL CENTER #249,"I-70/I-55, EXIT 18 & SR-162",Troy                                    ,IL,540,3.699,38.7292147,-89.8831541
1763,60084,SUNSTOP #625,US-84,Ashford,AL,20,3.599,31.1712007,-85.2221089
1764,60106,SUNSTOP #619,US-84,Daleville,AL,720,3.399,31.2966754,-85.7215283
1765,60114,SUNSTOP #606,US-84/SR-167,Enterprise,AL,20,3.699,31.2983884,-85.7845275
1767,60145,OCS QUICK STOP,US-43/SR-13,Mount Vernon                            ,AL,715,3.699,31.0978406,-88.0120337
